




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (1920)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to cytokine (GO:0034097)	23	12	3.20	+	3.76	1.52E-05	1.14E-04
regionalization (GO:0003002)	476	248	66.13	+	3.75	5.30E-91	1.18E-88
mitotic cytokinesis (GO:0000281)	50	26	6.95	+	3.74	1.81E-10	2.54E-09
glutamine family amino acid metabolic process (GO:0009064)	25	13	3.47	+	3.74	6.99E-06	5.65E-05
actin filament bundle organization (GO:0061572)	25	13	3.47	+	3.74	6.99E-06	5.64E-05
regulation of transcription elongation by RNA polymerase II (GO:0034243)	25	13	3.47	+	3.74	6.99E-06	5.64E-05
regulation of compound eye photoreceptor cell differentiation (GO:0110116)	25	13	3.47	+	3.74	6.99E-06	5.63E-05
maternal determination of anterior/posterior axis, embryo (GO:0008358)	75	39	10.42	+	3.74	5.08E-15	1.01E-13
pole plasm assembly (GO:0007315)	52	27	7.22	+	3.74	8.44E-11	1.22E-09
wing disc morphogenesis (GO:0007472)	289	150	40.15	+	3.74	2.50E-54	2.30E-52
germarium-derived oocyte fate determination (GO:0007294)	27	14	3.75	+	3.73	3.22E-06	2.77E-05
regulation of cell adhesion (GO:0030155)	54	28	7.50	+	3.73	3.94E-11	5.83E-10
positive regulation of neural precursor cell proliferation (GO:2000179)	27	14	3.75	+	3.73	3.22E-06	2.76E-05
biological process involved in symbiotic interaction (GO:0044403)	29	15	4.03	+	3.72	1.48E-06	1.34E-05
negative regulation of ERBB signaling pathway (GO:1901185)	31	16	4.31	+	3.72	6.86E-07	6.70E-06
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	31	16	4.31	+	3.72	6.86E-07	6.69E-06
negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)	31	16	4.31	+	3.72	6.86E-07	6.68E-06
morphogenesis of an epithelium (GO:0002009)	320	165	44.45	+	3.71	3.10E-59	3.25E-57
cortical cytoskeleton organization (GO:0030865)	64	33	8.89	+	3.71	8.73E-13	1.45E-11
genitalia development (GO:0048806)	33	17	4.58	+	3.71	3.17E-07	3.19E-06
associative learning (GO:0008306)	47	24	6.53	+	3.68	1.48E-09	1.88E-08
enzyme-linked receptor protein signaling pathway (GO:0007167)	145	74	20.14	+	3.67	1.25E-26	4.60E-25
negative regulation of mitotic cell cycle phase transition (GO:1901991)	49	25	6.81	+	3.67	6.88E-10	9.03E-09
regulation of kinase activity (GO:0043549)	51	26	7.08	+	3.67	3.21E-10	4.41E-09
imaginal disc-derived wing margin morphogenesis (GO:0008587)	55	28	7.64	+	3.66	6.96E-11	1.01E-09
cell surface receptor protein tyrosine kinase signaling pathway (GO:0007169)	114	58	15.84	+	3.66	4.61E-21	1.28E-19
tube morphogenesis (GO:0035239)	173	88	24.03	+	3.66	2.63E-31	1.23E-29
learning (GO:0007612)	63	32	8.75	+	3.66	3.30E-12	5.27E-11
tissue morphogenesis (GO:0048729)	345	175	47.93	+	3.65	1.91E-61	2.30E-59
developmental growth involved in morphogenesis (GO:0060560)	79	40	10.97	+	3.64	7.42E-15	1.47E-13
negative regulation of nervous system development (GO:0051961)	81	41	11.25	+	3.64	3.46E-15	7.05E-14
epithelium development (GO:0060429)	546	276	75.85	+	3.64	1.53E-97	4.03E-95
multicellular organismal-level homeostasis (GO:0048871)	127	64	17.64	+	3.63	8.20E-23	2.46E-21
cell migration (GO:0016477)	272	137	37.79	+	3.63	1.25E-47	8.98E-46
sensory organ morphogenesis (GO:0090596)	293	147	40.70	+	3.61	8.24E-51	6.52E-49
eye morphogenesis (GO:0048592)	293	147	40.70	+	3.61	8.24E-51	6.45E-49
pole plasm oskar mRNA localization (GO:0045451)	26	13	3.61	+	3.60	1.22E-05	9.31E-05
establishment of mitotic spindle orientation (GO:0000132)	22	11	3.06	+	3.60	5.81E-05	3.81E-04
anaphase-promoting complex-dependent catabolic process (GO:0031145)	18	9	2.50	+	3.60	2.81E-04	1.54E-03
crystal cell differentiation (GO:0042688)	18	9	2.50	+	3.60	2.81E-04	1.54E-03
mesoderm formation (GO:0001707)	26	13	3.61	+	3.60	1.22E-05	9.30E-05
sensory organ precursor cell fate determination (GO:0016360)	22	11	3.06	+	3.60	5.81E-05	3.81E-04
regulation of lamellipodium organization (GO:1902743)	18	9	2.50	+	3.60	2.81E-04	1.54E-03
morphogenesis of follicular epithelium (GO:0016333)	50	25	6.95	+	3.60	1.20E-09	1.54E-08
thermotaxis (GO:0043052)	18	9	2.50	+	3.60	2.81E-04	1.54E-03
spiracle morphogenesis, open tracheal system (GO:0035277)	22	11	3.06	+	3.60	5.81E-05	3.80E-04
exocrine system development (GO:0035272)	94	47	13.06	+	3.60	6.19E-17	1.45E-15
cytokinetic process (GO:0032506)	44	22	6.11	+	3.60	1.19E-08	1.37E-07
chaeta morphogenesis (GO:0008407)	44	22	6.11	+	3.60	1.19E-08	1.36E-07
cytokinesis (GO:0000910)	94	47	13.06	+	3.60	6.19E-17	1.44E-15
positive regulation of intracellular transport (GO:0032388)	22	11	3.06	+	3.60	5.81E-05	3.80E-04
neuron projection fasciculation (GO:0106030)	22	11	3.06	+	3.60	5.81E-05	3.80E-04
antibacterial humoral response (GO:0019731)	26	13	3.61	+	3.60	1.22E-05	9.29E-05
clathrin-dependent endocytosis (GO:0072583)	22	11	3.06	+	3.60	5.81E-05	3.79E-04
cell fate determination involved in pattern specification (GO:0060582)	22	11	3.06	+	3.60	5.81E-05	3.79E-04
sex determination (GO:0007530)	36	18	5.00	+	3.60	2.56E-07	2.57E-06
salivary gland development (GO:0007431)	94	47	13.06	+	3.60	6.19E-17	1.44E-15
regulation of heterochromatin formation (GO:0031445)	26	13	3.61	+	3.60	1.22E-05	9.28E-05
oocyte anterior/posterior axis specification (GO:0007314)	72	36	10.00	+	3.60	2.71E-13	4.70E-12
female germline ring canal formation (GO:0007301)	12	6	1.67	+	3.60	3.11E-03	1.31E-02
regulation of sevenless signaling pathway (GO:0045501)	12	6	1.67	+	3.60	3.11E-03	1.31E-02
energy taxis (GO:0009453)	20	10	2.78	+	3.60	1.27E-04	7.78E-04
mucosal immune response (GO:0002385)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
regulation of nurse cell apoptotic process (GO:0045477)	10	5	1.39	+	3.60	7.06E-03	2.72E-02
apoptotic cell clearance (GO:0043277)	20	10	2.78	+	3.60	1.27E-04	7.77E-04
ecdysone biosynthetic process (GO:0006697)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
organ or tissue specific immune response (GO:0002251)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
positive regulation of defense response to virus by host (GO:0002230)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
regulation of compound eye photoreceptor development (GO:0045314)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
mitotic spindle elongation (GO:0000022)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
regulation of exit from mitosis (GO:0007096)	10	5	1.39	+	3.60	7.06E-03	2.71E-02
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	10	5	1.39	+	3.60	7.06E-03	2.71E-02
mesodermal cell fate commitment (GO:0001710)	14	7	1.94	+	3.60	1.38E-03	6.65E-03
negative regulation of chromosome segregation (GO:0051985)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
dendrite development (GO:0016358)	140	70	19.45	+	3.60	1.43E-24	4.75E-23
positive regulation of chromosome organization (GO:2001252)	24	12	3.33	+	3.60	2.66E-05	1.88E-04
tumor necrosis factor-mediated signaling pathway (GO:0033209)	14	7	1.94	+	3.60	1.38E-03	6.64E-03
cell cycle DNA replication (GO:0044786)	34	17	4.72	+	3.60	5.53E-07	5.44E-06
intracellular glucose homeostasis (GO:0001678)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
nucleobase metabolic process (GO:0009112)	24	12	3.33	+	3.60	2.66E-05	1.88E-04
negative regulation of macroautophagy (GO:0016242)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
regulation of glucose metabolic process (GO:0010906)	14	7	1.94	+	3.60	1.38E-03	6.64E-03
cellular response to cytokine stimulus (GO:0071345)	20	10	2.78	+	3.60	1.27E-04	7.77E-04
leg disc pattern formation (GO:0035223)	20	10	2.78	+	3.60	1.27E-04	7.76E-04
peripheral nervous system neuron development (GO:0048935)	10	5	1.39	+	3.60	7.06E-03	2.71E-02
peripheral nervous system neuron differentiation (GO:0048934)	10	5	1.39	+	3.60	7.06E-03	2.71E-02
phototaxis (GO:0042331)	20	10	2.78	+	3.60	1.27E-04	7.75E-04
regulation of DNA repair (GO:0006282)	14	7	1.94	+	3.60	1.38E-03	6.63E-03
cellular response to reactive oxygen species (GO:0034614)	14	7	1.94	+	3.60	1.38E-03	6.63E-03
regulation of protein localization to nucleus (GO:1900180)	14	7	1.94	+	3.60	1.38E-03	6.62E-03
establishment or maintenance of monopolar cell polarity (GO:0061339)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
pericardial nephrocyte differentiation (GO:0061320)	10	5	1.39	+	3.60	7.06E-03	2.71E-02
peptidyl-threonine phosphorylation (GO:0018107)	10	5	1.39	+	3.60	7.06E-03	2.71E-02
sperm DNA decondensation (GO:0035041)	10	5	1.39	+	3.60	7.06E-03	2.71E-02
regulation of cytosolic calcium ion concentration (GO:0051480)	10	5	1.39	+	3.60	7.06E-03	2.70E-02
ecdysone metabolic process (GO:0008205)	14	7	1.94	+	3.60	1.38E-03	6.62E-03
dendrite self-avoidance (GO:0070593)	20	10	2.78	+	3.60	1.27E-04	7.75E-04
calcium-mediated signaling (GO:0019722)	20	10	2.78	+	3.60	1.27E-04	7.74E-04
actin filament polymerization (GO:0030041)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
establishment of monopolar cell polarity (GO:0061162)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
positive regulation of antifungal peptide production (GO:0002804)	10	5	1.39	+	3.60	7.06E-03	2.70E-02
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	12	6	1.67	+	3.60	3.11E-03	1.30E-02
positive regulation of DNA-templated DNA replication (GO:2000105)	12	6	1.67	+	3.60	3.11E-03	1.29E-02
eye pigment granule organization (GO:0008057)	14	7	1.94	+	3.60	1.38E-03	6.62E-03
striated muscle tissue development (GO:0014706)	10	5	1.39	+	3.60	7.06E-03	2.70E-02
negative regulation of mitotic nuclear division (GO:0045839)	14	7	1.94	+	3.60	1.38E-03	6.61E-03
synaptic vesicle membrane organization (GO:0048499)	12	6	1.67	+	3.60	3.11E-03	1.29E-02
glucose 6-phosphate metabolic process (GO:0051156)	14	7	1.94	+	3.60	1.38E-03	6.61E-03
regulation of defense response to virus by host (GO:0050691)	12	6	1.67	+	3.60	3.11E-03	1.29E-02
negative regulation of chromosome separation (GO:1905819)	12	6	1.67	+	3.60	3.11E-03	1.29E-02
terminal branching, open tracheal system (GO:0007430)	28	14	3.89	+	3.60	5.61E-06	4.59E-05
mesodermal cell differentiation (GO:0048333)	14	7	1.94	+	3.60	1.38E-03	6.60E-03
ventral cord development (GO:0007419)	74	37	10.28	+	3.60	1.27E-13	2.27E-12
regulation of R7 cell differentiation (GO:0045676)	24	12	3.33	+	3.60	2.66E-05	1.88E-04
developmental pigmentation (GO:0048066)	60	30	8.34	+	3.60	2.63E-11	3.99E-10
regulation of embryonic cell shape (GO:0016476)	30	15	4.17	+	3.60	2.59E-06	2.27E-05
positive regulation of neuron projection development (GO:0010976)	30	15	4.17	+	3.60	2.59E-06	2.27E-05
regulation of tube length, open tracheal system (GO:0035159)	30	15	4.17	+	3.60	2.59E-06	2.26E-05
branching morphogenesis of an epithelial tube (GO:0048754)	60	30	8.34	+	3.60	2.63E-11	3.98E-10
branching involved in open tracheal system development (GO:0060446)	60	30	8.34	+	3.60	2.63E-11	3.97E-10
gland development (GO:0048732)	155	77	21.53	+	3.58	1.15E-26	4.24E-25
neuron projection guidance (GO:0097485)	252	125	35.01	+	3.57	1.38E-42	8.45E-41
post-embryonic appendage morphogenesis (GO:0035120)	319	158	44.32	+	3.57	1.23E-53	1.04E-51
female gamete generation (GO:0007292)	591	292	82.10	+	3.56	3.31E-100	9.74E-98
germ-line stem cell population maintenance (GO:0030718)	83	41	11.53	+	3.56	1.03E-14	2.02E-13
compound eye morphogenesis (GO:0001745)	284	140	39.45	+	3.55	3.15E-47	2.21E-45
photoreceptor cell differentiation (GO:0046530)	205	101	28.48	+	3.55	3.06E-34	1.52E-32
imaginal disc morphogenesis (GO:0007560)	404	199	56.12	+	3.55	3.61E-67	5.01E-65
imaginal disc-derived appendage development (GO:0048737)	335	165	46.54	+	3.55	1.40E-55	1.43E-53
morphogenesis of a branching structure (GO:0001763)	61	30	8.47	+	3.54	4.49E-11	6.63E-10
morphogenesis of a branching epithelium (GO:0061138)	61	30	8.47	+	3.54	4.49E-11	6.62E-10
establishment of cell polarity (GO:0030010)	57	28	7.92	+	3.54	2.06E-10	2.89E-09
regulation of transferase activity (GO:0051338)	57	28	7.92	+	3.54	2.06E-10	2.88E-09
regulation of cell development (GO:0060284)	165	81	22.92	+	3.53	1.55E-27	5.89E-26
regulation of tube size (GO:0035150)	55	27	7.64	+	3.53	4.42E-10	5.98E-09
imaginal disc pattern formation (GO:0007447)	110	54	15.28	+	3.53	8.68E-19	2.19E-17
imaginal disc-derived appendage morphogenesis (GO:0035114)	328	161	45.57	+	3.53	5.75E-54	5.10E-52
regulation of tube size, open tracheal system (GO:0035151)	51	25	7.08	+	3.53	2.04E-09	2.56E-08
negative regulation of developmental process (GO:0051093)	202	99	28.06	+	3.53	2.45E-33	1.20E-31
oogenesis (GO:0048477)	541	265	75.16	+	3.53	1.86E-89	4.02E-87
glucose homeostasis (GO:0042593)	49	24	6.81	+	3.53	4.37E-09	5.36E-08
open tracheal system development (GO:0007424)	243	119	33.76	+	3.53	7.47E-40	4.30E-38
cytoskeleton-dependent cytokinesis (GO:0061640)	92	45	12.78	+	3.52	8.28E-16	1.75E-14
tissue development (GO:0009888)	638	312	88.63	+	3.52	6.88E-106	2.81E-103
oocyte development (GO:0048599)	135	66	18.75	+	3.52	1.53E-22	4.56E-21
appendage development (GO:0048736)	338	165	46.95	+	3.51	6.97E-55	6.57E-53
regulation of neurogenesis (GO:0050767)	125	61	17.36	+	3.51	7.01E-21	1.95E-19
appendage morphogenesis (GO:0035107)	330	161	45.84	+	3.51	1.67E-53	1.39E-51
positive regulation of cell development (GO:0010720)	82	40	11.39	+	3.51	3.73E-14	6.98E-13
negative regulation of Wnt signaling pathway (GO:0030178)	41	20	5.70	+	3.51	9.34E-08	9.80E-07
neuron recognition (GO:0008038)	117	57	16.25	+	3.51	1.49E-19	3.89E-18
eye photoreceptor cell differentiation (GO:0001754)	187	91	25.98	+	3.50	2.00E-30	8.88E-29
spindle localization (GO:0051653)	37	18	5.14	+	3.50	4.34E-07	4.33E-06
establishment of spindle localization (GO:0051293)	37	18	5.14	+	3.50	4.34E-07	4.32E-06
mushroom body development (GO:0016319)	70	34	9.72	+	3.50	3.59E-12	5.72E-11
eye development (GO:0001654)	371	180	51.54	+	3.49	2.19E-59	2.40E-57
visual system development (GO:0150063)	371	180	51.54	+	3.49	2.19E-59	2.37E-57
sensory system development (GO:0048880)	371	180	51.54	+	3.49	2.19E-59	2.33E-57
regulation of stem cell differentiation (GO:2000736)	33	16	4.58	+	3.49	2.02E-06	1.80E-05
regulation of response to wounding (GO:1903034)	33	16	4.58	+	3.49	2.02E-06	1.79E-05
regulation of DNA replication (GO:0006275)	33	16	4.58	+	3.49	2.02E-06	1.79E-05
fertilization (GO:0009566)	33	16	4.58	+	3.49	2.02E-06	1.79E-05
mesoderm development (GO:0007498)	97	47	13.48	+	3.49	3.04E-16	6.69E-15
lymph gland development (GO:0048542)	64	31	8.89	+	3.49	3.52E-11	5.25E-10
hematopoietic or lymphoid organ development (GO:0048534)	64	31	8.89	+	3.49	3.52E-11	5.24E-10
immune system development (GO:0002520)	64	31	8.89	+	3.49	3.52E-11	5.23E-10
regulation of DNA-templated transcription elongation (GO:0032784)	31	15	4.31	+	3.48	4.37E-06	3.66E-05
cell-cell fusion (GO:0140253)	31	15	4.31	+	3.48	4.37E-06	3.66E-05
viral process (GO:0016032)	31	15	4.31	+	3.48	4.37E-06	3.65E-05
DNA conformation change (GO:0071103)	31	15	4.31	+	3.48	4.37E-06	3.65E-05
myotube differentiation (GO:0014902)	31	15	4.31	+	3.48	4.37E-06	3.65E-05
syncytium formation by plasma membrane fusion (GO:0000768)	31	15	4.31	+	3.48	4.37E-06	3.64E-05
myoblast fusion (GO:0007520)	31	15	4.31	+	3.48	4.37E-06	3.64E-05
syncytium formation (GO:0006949)	31	15	4.31	+	3.48	4.37E-06	3.63E-05
single fertilization (GO:0007338)	31	15	4.31	+	3.48	4.37E-06	3.63E-05
cell recognition (GO:0008037)	122	59	16.95	+	3.48	5.42E-20	1.45E-18
karyosome formation (GO:0061988)	29	14	4.03	+	3.48	9.47E-06	7.32E-05
oocyte karyosome formation (GO:0030717)	29	14	4.03	+	3.48	9.47E-06	7.32E-05
Wnt signaling pathway (GO:0016055)	29	14	4.03	+	3.48	9.47E-06	7.31E-05
maintenance of location (GO:0051235)	56	27	7.78	+	3.47	7.42E-10	9.71E-09
regulation of cell population proliferation (GO:0042127)	222	107	30.84	+	3.47	4.03E-35	2.06E-33
positive regulation of response to wounding (GO:1903036)	27	13	3.75	+	3.47	2.06E-05	1.47E-04
dendrite morphogenesis (GO:0048813)	133	64	18.48	+	3.46	1.99E-21	5.59E-20
wing disc pattern formation (GO:0035222)	79	38	10.97	+	3.46	2.86E-13	4.94E-12
compound eye photoreceptor cell differentiation (GO:0001751)	183	88	25.42	+	3.46	5.68E-29	2.32E-27
wing disc development (GO:0035220)	387	186	53.76	+	3.46	1.45E-60	1.67E-58
biological process involved in interaction with host (GO:0051701)	25	12	3.47	+	3.46	4.47E-05	3.00E-04
symbiont entry into host cell (GO:0046718)	25	12	3.47	+	3.46	4.47E-05	3.00E-04
positive regulation of phosphorylation (GO:0042327)	50	24	6.95	+	3.46	7.31E-09	8.71E-08
symbiont entry into host (GO:0044409)	25	12	3.47	+	3.46	4.47E-05	2.99E-04
positive regulation of protein polymerization (GO:0032273)	25	12	3.47	+	3.46	4.47E-05	2.99E-04
positive regulation of cell cycle process (GO:0090068)	50	24	6.95	+	3.46	7.31E-09	8.70E-08
regulation of hemocyte differentiation (GO:0045610)	25	12	3.47	+	3.46	4.47E-05	2.99E-04
detection of visible light (GO:0009584)	25	12	3.47	+	3.46	4.47E-05	2.99E-04
instar larval development (GO:0002168)	75	36	10.42	+	3.46	1.31E-12	2.15E-11
axon guidance (GO:0007411)	244	117	33.90	+	3.45	4.78E-38	2.58E-36
regulation of embryonic development (GO:0045995)	48	23	6.67	+	3.45	1.57E-08	1.78E-07
instar larval or pupal morphogenesis (GO:0048707)	439	210	60.99	+	3.44	4.72E-68	6.68E-66
regulation of mitotic cell cycle phase transition (GO:1901990)	92	44	12.78	+	3.44	4.95E-15	9.89E-14
regulation of phosphorylation (GO:0042325)	86	41	11.95	+	3.43	4.84E-14	8.91E-13
regulation of imaginal disc growth (GO:0045570)	42	20	5.83	+	3.43	1.55E-07	1.61E-06
branch fusion, open tracheal system (GO:0035147)	21	10	2.92	+	3.43	2.13E-04	1.21E-03
tube fusion (GO:0035146)	21	10	2.92	+	3.43	2.13E-04	1.20E-03
entrainment of circadian clock (GO:0009649)	21	10	2.92	+	3.43	2.13E-04	1.20E-03
compound eye development (GO:0048749)	353	168	49.04	+	3.43	6.82E-54	5.97E-52
metamorphosis (GO:0007552)	465	221	64.60	+	3.42	4.94E-71	7.42E-69
receptor-mediated endocytosis (GO:0006898)	40	19	5.56	+	3.42	3.33E-07	3.34E-06
hemopoiesis (GO:0030097)	80	38	11.11	+	3.42	4.72E-13	8.00E-12
leg disc development (GO:0035218)	95	45	13.20	+	3.41	3.81E-15	7.74E-14
positive regulation of imaginal disc growth (GO:0045572)	19	9	2.64	+	3.41	4.68E-04	2.43E-03
cytokine-mediated signaling pathway (GO:0019221)	19	9	2.64	+	3.41	4.68E-04	2.43E-03
basement membrane organization (GO:0071711)	19	9	2.64	+	3.41	4.68E-04	2.42E-03
eye pigmentation (GO:0048069)	38	18	5.28	+	3.41	7.17E-07	6.98E-06
negative regulation of organ growth (GO:0046621)	19	9	2.64	+	3.41	4.68E-04	2.42E-03
regulation of organ growth (GO:0046620)	38	18	5.28	+	3.41	7.17E-07	6.97E-06
apposition of dorsal and ventral imaginal disc-derived wing surfaces (GO:0007475)	19	9	2.64	+	3.41	4.68E-04	2.42E-03
post-embryonic animal morphogenesis (GO:0009886)	454	215	63.07	+	3.41	1.06E-68	1.53E-66
positive regulation of cell population proliferation (GO:0008284)	93	44	12.92	+	3.41	8.14E-15	1.61E-13
cell maturation (GO:0048469)	167	79	23.20	+	3.41	1.55E-25	5.39E-24
axonogenesis (GO:0007409)	294	139	40.84	+	3.40	3.46E-44	2.23E-42
regulation of cell differentiation (GO:0045595)	271	128	37.65	+	3.40	1.13E-40	6.66E-39
respiratory system development (GO:0060541)	252	119	35.01	+	3.40	7.56E-38	4.06E-36
oocyte differentiation (GO:0009994)	157	74	21.81	+	3.39	7.10E-24	2.29E-22
female germ-line stem cell asymmetric division (GO:0048132)	17	8	2.36	+	3.39	1.03E-03	5.07E-03
anatomical structure maturation (GO:0071695)	170	80	23.62	+	3.39	1.18E-25	4.12E-24
nucleoside monophosphate biosynthetic process (GO:0009124)	17	8	2.36	+	3.39	1.03E-03	5.06E-03
cellular response to lipid (GO:0071396)	17	8	2.36	+	3.39	1.03E-03	5.06E-03
photoreceptor cell morphogenesis (GO:0008594)	17	8	2.36	+	3.39	1.03E-03	5.06E-03
anatomical structure homeostasis (GO:0060249)	83	39	11.53	+	3.38	3.61E-13	6.22E-12
regulation of mitotic cell cycle (GO:0007346)	166	78	23.06	+	3.38	5.46E-25	1.85E-23
positive regulation of neurogenesis (GO:0050769)	66	31	9.17	+	3.38	9.57E-11	1.38E-09
germarium-derived oocyte differentiation (GO:0030706)	32	15	4.45	+	3.37	7.17E-06	5.73E-05
regulation of nervous system development (GO:0051960)	207	97	28.76	+	3.37	1.12E-30	5.01E-29
muscle structure development (GO:0061061)	207	97	28.76	+	3.37	1.12E-30	4.98E-29
regulation of ERBB signaling pathway (GO:1901184)	47	22	6.53	+	3.37	5.50E-08	5.91E-07
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	47	22	6.53	+	3.37	5.50E-08	5.90E-07
sensory organ development (GO:0007423)	470	220	65.29	+	3.37	3.73E-69	5.48E-67
imaginal disc development (GO:0007444)	560	262	77.79	+	3.37	9.38E-83	1.87E-80
tissue homeostasis (GO:0001894)	62	29	8.61	+	3.37	4.36E-10	5.92E-09
head development (GO:0060322)	135	63	18.75	+	3.36	3.10E-20	8.48E-19
response to lipid (GO:0033993)	45	21	6.25	+	3.36	1.18E-07	1.23E-06
positive regulation of protein-containing complex assembly (GO:0031334)	30	14	4.17	+	3.36	1.55E-05	1.15E-04
spindle assembly involved in female meiosis (GO:0007056)	15	7	2.08	+	3.36	2.28E-03	1.01E-02
